topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
amazing results,1,1,1,1
best innovation,0,1,1,1
best view,1,1,1,1
commercial notebooks,0,1,1,1
customary closing,0,1,1,1
disruptive innovation,1,1,1,1
electronic privacy,0,1,1,1
entire ecosystem,1,1,1,1
favorable impact,1,1,1,1
graphic supplies,0,1,1,1
great example,1,1,1,1
key competitors,0,1,1,1
long time,0,1,1,1
multiple dimensions,0,1,1,1
net revenue,0,1,1,1
overall cost,1,1,1,1
profitable share,0,1,1,1
real renaissance,0,1,1,1
regulatory approval,0,1,1,1
segmenting market,1,1,1,1
significant component,0,1,1,1
small increase,0,1,1,1
solid progress,1,1,1,1
strategic progress,1,1,1,1
strong performance,0,1,1,1
total revenue,0,1,1,1
visual hacking,0,1,1,1
