topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",3
-1,Outlier,Negative (Low/Med arousal),11
-1,Outlier,Neutral,30
-1,Outlier,Positive (Low/Mid arousal),1
0,"profitable growth, strong foundation, strong leadership, significant search, high performance, iconic core, long term, new talent, strong bench, upcoming fall","Excited (Positive, High arousal)",14
0,"profitable growth, strong foundation, strong leadership, significant search, high performance, iconic core, long term, new talent, strong bench, upcoming fall",Negative (Low/Med arousal),12
0,"profitable growth, strong foundation, strong leadership, significant search, high performance, iconic core, long term, new talent, strong bench, upcoming fall",Neutral,41
0,"profitable growth, strong foundation, strong leadership, significant search, high performance, iconic core, long term, new talent, strong bench, upcoming fall",Positive (Low/Mid arousal),2
1,"wholesale partners, wholesale customers, wholesale shipments, wholesale doors, wholesale business, right balance, longer lead, initial feedback, right size, ","Excited (Positive, High arousal)",7
1,"wholesale partners, wholesale customers, wholesale shipments, wholesale doors, wholesale business, right balance, longer lead, initial feedback, right size, ",Negative (Low/Med arousal),6
1,"wholesale partners, wholesale customers, wholesale shipments, wholesale doors, wholesale business, right balance, longer lead, initial feedback, right size, ",Neutral,19
1,"wholesale partners, wholesale customers, wholesale shipments, wholesale doors, wholesale business, right balance, longer lead, initial feedback, right size, ",Positive (Low/Mid arousal),1
2,"gross margin, topline growth, substantial improvement, proactive expense, near term, efficient cost, current spot, current pressures, current exchange, ","Excited (Positive, High arousal)",2
2,"gross margin, topline growth, substantial improvement, proactive expense, near term, efficient cost, current spot, current pressures, current exchange, ",Negative (Low/Med arousal),7
2,"gross margin, topline growth, substantial improvement, proactive expense, near term, efficient cost, current spot, current pressures, current exchange, ",Neutral,14
3,"reported basis, total debt, double digit, , , , , , , ","Excited (Positive, High arousal)",1
3,"reported basis, total debt, double digit, , , , , , , ",Negative (Low/Med arousal),2
3,"reported basis, total debt, double digit, , , , , , , ",Neutral,5
3,"reported basis, total debt, double digit, , , , , , , ",Positive (Low/Mid arousal),2
