topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
accelerated share,0,1,1,1
average price,0,1,1,1
certain tax,0,1,1,1
convertible notes,0,1,1,1
dilutive impact,0,1,1,1
encouraged today,1,1,1,1
foundry segment,0,1,1,1
gross margin,0,1,1,1
healthy cash,1,1,1,1
quarterly earnings,1,1,1,1
record shipment,0,1,1,1
right place,1,1,1,1
right products,1,1,1,1
right time,1,1,1,1
solid cash,1,1,1,1
strong revenue,1,1,1,1
total system,0,1,1,1
