topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
bad actors,1,1,1,0
bad behavior,1,1,1,0
bad content,1,1,1,0
daily actives,1,1,1,1
greater sense,1,1,1,1
important parts,1,1,1,1
long term,1,1,1,1
major data,1,1,1,1
major tech,1,1,1,1
national security,1,1,1,1
new data,1,1,1,1
new threats,1,1,1,1
public consumption,1,1,1,1
renewable energy,1,1,1,1
scientific advances,1,1,1,1
serious issue,1,1,1,0
similar interests,1,1,1,1
social capital,1,1,1,1
social content,1,1,1,1
social interaction,1,1,1,1
specific community,1,1,1,1
specific type,1,1,1,1
technical achievement,1,1,1,1
terrorist propaganda,1,1,1,0
whole industries,1,1,1,1
