topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",3
-1,Outlier,Negative (Low/Med arousal),8
-1,Outlier,Neutral,20
-1,Outlier,Positive (Low/Mid arousal),9
0,"gross margin, commercial cloud, intelligent cloud, cloud revenue, commercial business, healthy renewals, technical resources, largest geos, unearned guidance, pure basis","Excited (Positive, High arousal)",8
0,"gross margin, commercial cloud, intelligent cloud, cloud revenue, commercial business, healthy renewals, technical resources, largest geos, unearned guidance, pure basis",Negative (Low/Med arousal),22
0,"gross margin, commercial cloud, intelligent cloud, cloud revenue, commercial business, healthy renewals, technical resources, largest geos, unearned guidance, pure basis",Neutral,32
0,"gross margin, commercial cloud, intelligent cloud, cloud revenue, commercial business, healthy renewals, technical resources, largest geos, unearned guidance, pure basis",Positive (Low/Mid arousal),13
1,"commercial revenue, negative impact, total revenue, strong sales, positive signals, nice transition, transactional decline, macroeconomic trends, lower volume, large markets","Excited (Positive, High arousal)",2
1,"commercial revenue, negative impact, total revenue, strong sales, positive signals, nice transition, transactional decline, macroeconomic trends, lower volume, large markets",Negative (Low/Med arousal),9
1,"commercial revenue, negative impact, total revenue, strong sales, positive signals, nice transition, transactional decline, macroeconomic trends, lower volume, large markets",Neutral,33
1,"commercial revenue, negative impact, total revenue, strong sales, positive signals, nice transition, transactional decline, macroeconomic trends, lower volume, large markets",Positive (Low/Mid arousal),4
2,"cloud revenue, gross margin, total company, strategic areas, new investment, quarterly amortization, new console, higher margin, , ",Negative (Low/Med arousal),7
2,"cloud revenue, gross margin, total company, strategic areas, new investment, quarterly amortization, new console, higher margin, , ",Neutral,15
2,"cloud revenue, gross margin, total company, strategic areas, new investment, quarterly amortization, new console, higher margin, , ",Positive (Low/Mid arousal),2
