topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
actual number,1,1,1,1
average billings,1,1,1,1
big top,1,1,1,1
broader solutions,1,1,1,1
cancellable subscriptions,1,1,1,1
cloud access,1,1,1,1
digital transformation,1,1,1,1
effective tax,1,1,1,1
high end,1,1,1,1
hybrid cloud,1,1,1,1
intangible assets,1,1,1,1
largest driver,1,1,1,1
modern infrastructure,1,1,1,1
open source,1,1,1,1
open stack,1,1,1,1
quarterly cash,1,1,1,1
standalone automation,1,1,1,1
total backlog,1,1,1,1
total change,1,1,1,1
total revenue,1,1,1,1
