filename,topic_id,topic_keywords
001.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
002.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
003.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
004.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
005.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
006.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
007.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
008.txt,3,"short term, uncertain times, related hesitancy, inevitable pickup, historical track, economic activity, current uncertainty, , , "
009.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
010.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
011.txt,-1,Outlier
012.txt,3,"short term, uncertain times, related hesitancy, inevitable pickup, historical track, economic activity, current uncertainty, , , "
013.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
014.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
015.txt,1,"new business, historical data, strange way, small business, prior period, right strategy, organic revenue, historical growth, diluted earnings, constant dollar"
016.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
017.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
018.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
019.txt,0,"new business, better workforce, strategic acquisition, steady company, robust dataset, tight labor, potential change, major impact, fantastic question, innovative talent"
