filename,topic_id,topic_keywords
001.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
002.txt,-1,Outlier
003.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
004.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
005.txt,-1,Outlier
006.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
007.txt,-1,Outlier
008.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
009.txt,-1,Outlier
010.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
011.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
012.txt,-1,Outlier
013.txt,-1,Outlier
014.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
015.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
016.txt,-1,Outlier
017.txt,-1,Outlier
018.txt,-1,Outlier
019.txt,-1,Outlier
020.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
021.txt,-1,Outlier
022.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
023.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
024.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
025.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
026.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
027.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
028.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
029.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
030.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
031.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
032.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
033.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
034.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
035.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
036.txt,-1,Outlier
037.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
038.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
039.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
040.txt,-1,Outlier
041.txt,-1,Outlier
042.txt,-1,Outlier
043.txt,-1,Outlier
044.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
045.txt,-1,Outlier
046.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
047.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
048.txt,-1,Outlier
049.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
050.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
051.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
052.txt,-1,Outlier
053.txt,-1,Outlier
054.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
055.txt,-1,Outlier
056.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
057.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
058.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
059.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
060.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
061.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
062.txt,-1,Outlier
063.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
064.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
065.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
066.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
067.txt,-1,Outlier
068.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
069.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
070.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
071.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
072.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
073.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
074.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
075.txt,-1,Outlier
076.txt,-1,Outlier
077.txt,-1,Outlier
078.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
079.txt,-1,Outlier
080.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
081.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
082.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
083.txt,-1,Outlier
084.txt,-1,Outlier
085.txt,-1,Outlier
086.txt,-1,Outlier
087.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
088.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
089.txt,-1,Outlier
090.txt,-1,Outlier
091.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
092.txt,-1,Outlier
093.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
094.txt,-1,Outlier
095.txt,-1,Outlier
096.txt,-1,Outlier
097.txt,3,"private label, broth business, center store, robust analytics, sharper focus, larger impact, private labels, promotional approach, positive performance, fresh categories"
098.txt,1,"back half, strong innovation, successful launch, solid results, several meal, savory crackers, strategic partnership, pure play, original shapes, larger chocolate"
099.txt,-1,Outlier
100.txt,4,"low yields, appropriate steps, immediate issues, seasonal inventory, key customer, , , , , "
101.txt,0,"commerce unit, external development, real food, retail pricing, right direction, strategic transition, personalized nutrition, many reasons, longer term, normal promotion"
102.txt,-1,Outlier
103.txt,-1,Outlier
104.txt,-1,Outlier
105.txt,-1,Outlier
106.txt,-1,Outlier
107.txt,-1,Outlier
108.txt,-1,Outlier
109.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
110.txt,-1,Outlier
111.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
112.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
113.txt,2,"great job, good add, constant watch, different things, additional actions, top talent, , , , "
