topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",4
-1,Outlier,Negative (Low/Med arousal),10
-1,Outlier,Neutral,22
-1,Outlier,Positive (Low/Mid arousal),6
0,"free cash, early retirement, effective tax, common stock, prior guidance, whole provision, operating income, prior expectations, strong balance, strong cash","Excited (Positive, High arousal)",3
0,"free cash, early retirement, effective tax, common stock, prior guidance, whole provision, operating income, prior expectations, strong balance, strong cash",Negative (Low/Med arousal),8
0,"free cash, early retirement, effective tax, common stock, prior guidance, whole provision, operating income, prior expectations, strong balance, strong cash",Neutral,22
0,"free cash, early retirement, effective tax, common stock, prior guidance, whole provision, operating income, prior expectations, strong balance, strong cash",Positive (Low/Mid arousal),5
1,"net sales, early warning, higher sales, total bookings, total book, key bookings, , , , ",Negative (Low/Med arousal),9
1,"net sales, early warning, higher sales, total bookings, total book, key bookings, , , , ",Neutral,11
1,"net sales, early warning, higher sales, total bookings, total book, key bookings, , , , ",Positive (Low/Mid arousal),4
2,"consistent terms, , , , , , , , , ","Excited (Positive, High arousal)",3
2,"consistent terms, , , , , , , , , ",Negative (Low/Med arousal),2
2,"consistent terms, , , , , , , , , ",Neutral,14
2,"consistent terms, , , , , , , , , ",Positive (Low/Mid arousal),2
3,"unfavorable program, strong margin, favorable program, higher volume, earlier timing, back half, international awards, total company, , ","Excited (Positive, High arousal)",2
3,"unfavorable program, strong margin, favorable program, higher volume, earlier timing, back half, international awards, total company, , ",Negative (Low/Med arousal),3
3,"unfavorable program, strong margin, favorable program, higher volume, earlier timing, back half, international awards, total company, , ",Neutral,11
3,"unfavorable program, strong margin, favorable program, higher volume, earlier timing, back half, international awards, total company, , ",Positive (Low/Mid arousal),2
