topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
advisory business,1,1,1,1
balanced approach,1,1,1,1
competitive environment,1,1,1,1
competitive positioning,1,1,1,1
consistent shareholder,1,1,1,1
continuous innovation,1,1,1,1
daily volumes,1,1,1,1
different ways,1,1,1,1
dynamic conversation,1,1,1,1
exciting area,1,1,1,1
global capital,1,1,1,1
great growth,1,1,1,1
healthy pipeline,1,1,1,1
highest growth,1,1,1,1
highest quarters,1,1,1,1
incremental market,1,1,1,1
measured approach,1,1,1,1
modular architecture,1,1,1,1
new asset,1,1,1,1
new ways,1,1,1,1
next generation,2,2,2,2
nice return,1,1,1,1
organic growth,1,1,1,1
outstanding shareholder,1,1,1,1
portal space,1,1,1,1
preferred venue,1,1,1,1
primary area,1,1,1,1
public companies,1,1,1,1
public offering,1,1,1,1
relative strength,1,1,1,1
several machine,1,1,1,1
shorter time,1,1,1,1
slight decline,1,1,1,1
special part,1,1,1,1
specific goals,1,1,1,1
standard sweep,1,1,1,1
strategic approach,1,1,1,1
strategic partner,1,1,1,1
strong momentum,1,1,1,1
sustainable level,1,1,1,1
total package,1,1,1,1
trade risk,1,1,1,1
tremendous efficiency,1,1,1,1
unique sets,1,1,1,1
