topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
better discount,1,1,1,1
better growth,1,1,1,1
better price,1,1,1,1
better products,1,1,1,1
combined business,1,1,1,1
competitive capabilities,1,1,1,0
differentiated customer,1,1,1,1
digital transformation,1,1,1,0
excellent integration,1,1,1,0
extraordinary customer,1,1,1,1
free cash,1,1,1,1
global marketplace,1,1,1,0
great capability,1,1,1,0
higher profitability,1,1,1,1
positive outcome,1,1,1,0
profitable growth,1,1,1,0
small locations,1,1,1,0
specific things,1,1,1,1
unified network,1,1,1,0
