topic_id,topic_keywords,emotion_label,count
-1,Outlier,"Excited (Positive, High arousal)",22
-1,Outlier,Negative (Low/Med arousal),24
-1,Outlier,Neutral,44
0,"wireless service, wireless revenues, big thing, organic basis, back half, wireless trajectory, wireless number, primary driver, right levels, total revenue","Excited (Positive, High arousal)",8
0,"wireless service, wireless revenues, big thing, organic basis, back half, wireless trajectory, wireless number, primary driver, right levels, total revenue",Negative (Low/Med arousal),9
0,"wireless service, wireless revenues, big thing, organic basis, back half, wireless trajectory, wireless number, primary driver, right levels, total revenue",Neutral,15
1,"new products, competitive environment, connected world, next generation, new businesses, operational performance, organizational agility, strong networks, wireless data, new ecosystems","Excited (Positive, High arousal)",6
1,"new products, competitive environment, connected world, next generation, new businesses, operational performance, organizational agility, strong networks, wireless data, new ecosystems",Negative (Low/Med arousal),12
1,"new products, competitive environment, connected world, next generation, new businesses, operational performance, organizational agility, strong networks, wireless data, new ecosystems",Neutral,13
2,"unlimited offering, high quality, unlimited world, unlimited offer, single line, wireless plans, retail phone, important thing, important point, entire business","Excited (Positive, High arousal)",2
2,"unlimited offering, high quality, unlimited world, unlimited offer, single line, wireless plans, retail phone, important thing, important point, entire business",Negative (Low/Med arousal),11
2,"unlimited offering, high quality, unlimited world, unlimited offer, single line, wireless plans, retail phone, important thing, important point, entire business",Neutral,15
3,"right thing, tremendous opportunity, right direction, right acquisition, organic fashion, better trajectory, long run, key focus, great assets, good price","Excited (Positive, High arousal)",16
3,"right thing, tremendous opportunity, right direction, right acquisition, organic fashion, better trajectory, long run, key focus, great assets, good price",Negative (Low/Med arousal),3
3,"right thing, tremendous opportunity, right direction, right acquisition, organic fashion, better trajectory, long run, key focus, great assets, good price",Neutral,4
4,"small cells, strategic agreement, smart cities, small business, single use, optical fiber, adequate supply, , , ","Excited (Positive, High arousal)",4
4,"small cells, strategic agreement, smart cities, small business, single use, optical fiber, adequate supply, , , ",Negative (Low/Med arousal),5
4,"small cells, strategic agreement, smart cities, small business, single use, optical fiber, adequate supply, , , ",Neutral,9
5,"overall context, ongoing asset, , , , , , , , ","Excited (Positive, High arousal)",1
5,"overall context, ongoing asset, , , , , , , , ",Negative (Low/Med arousal),4
5,"overall context, ongoing asset, , , , , , , , ",Neutral,11
6,"postpaid phone, top priority, net losses, distinct trajectories, postpaid customers, , , , , ","Excited (Positive, High arousal)",1
6,"postpaid phone, top priority, net losses, distinct trajectories, postpaid customers, , , , , ",Negative (Low/Med arousal),7
6,"postpaid phone, top priority, net losses, distinct trajectories, postpaid customers, , , , , ",Neutral,5
7,"small cells, wireless pilots, new technologies, technological developments, significant opportunity, significant opportunities, broader question, current spectrum, band spectrum, wireless network","Excited (Positive, High arousal)",4
7,"small cells, wireless pilots, new technologies, technological developments, significant opportunity, significant opportunities, broader question, current spectrum, band spectrum, wireless network",Negative (Low/Med arousal),1
7,"small cells, wireless pilots, new technologies, technological developments, significant opportunity, significant opportunities, broader question, current spectrum, band spectrum, wireless network",Neutral,7
8,"little surprise, , , , , , , , , ","Excited (Positive, High arousal)",5
8,"little surprise, , , , , , , , , ",Negative (Low/Med arousal),2
8,"little surprise, , , , , , , , , ",Neutral,4
8,"little surprise, , , , , , , , , ",Positive (Low/Mid arousal),1
